ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,PASSENGERS
10001,10056,1.0
10001,10056,1.0
10006,10056,1.0
10009,10170,1.0
10040,11630,1.0
10040,11630,1.0
10040,11630,1.0
10040,11630,1.0
10056,10001,1.0
10056,10016,1.0
10056,10056,1.0
10056,10056,1.0
10056,10056,1.0
10056,10056,1.0
10056,10278,1.0
10056,10278,1.0
10056,10278,1.0
10056,10324,1.0
10056,10324,1.0
10056,10324,1.0
10056,11513,1.0
10056,12705,1.0
10056,12705,1.0
10056,12712,1.0
10056,12743,1.0
10056,12743,1.0
10056,12771,1.0
10056,12785,1.0
10056,12854,1.0
10056,12854,1.0
10056,12854,1.0
10056,12869,1.0
10056,12869,1.0
10056,12869,1.0
10056,13863,1.0
10056,13888,1.0
10056,13888,1.0
10056,15091,1.0
10056,15091,1.0
10056,15091,1.0
10056,15091,1.0
10056,15091,1.0
10056,15091,1.0
10056,15091,1.0
10056,15446,1.0
10056,15446,1.0
10135,12932,1.0
10135,12944,1.0
10135,14307,1.0
10139,12268,1.0
10139,13806,1.0
10139,13806,1.0
10139,13942,1.0
10139,13970,1.0
10139,13970,1.0
10139,14218,1.0
10139,14804,1.0
10139,15785,1.0
10140,10529,1.0
10140,10599,1.0
10140,10693,1.0
10140,11481,1.0
10140,11603,1.0
10140,12953,1.0
10140,13502,1.0
10140,13871,1.0
10140,14262,1.0
10140,14262,1.0
10140,14307,1.0
10140,14747,1.0
10140,15370,1.0
10140,15618,1.0
10140,15618,1.0
10141,14712,1.0
10154,10257,1.0
10154,10535,1.0
10154,10613,1.0
10154,10721,1.0
10154,10721,1.0
10154,10927,1.0
10154,11456,1.0
10154,11618,1.0
10154,11675,1.0
10154,11728,1.0
10154,11728,1.0
10154,12108,1.0
10154,12244,1.0
10154,12250,1.0
10154,12391,1.0
10154,12478,1.0
10154,12478,1.0
10154,12478,1.0
10154,12925,1.0
10154,12944,1.0
10154,12953,1.0
10154,13398,1.0
10154,13535,1.0
10154,13731,1.0
10154,13931,1.0
10154,14100,1.0
10154,14182,1.0
10154,15656,1.0
10154,15656,1.0
10154,15855,1.0
10154,16353,1.0
10154,16807,1.0
10154,16832,1.0
10158,11728,1.0
10158,12197,1.0
10158,15167,1.0
10165,11445,1.0
10170,10245,1.0
10170,11299,1.0
10170,12866,1.0
10170,14855,1.0
10171,10693,1.0
10171,11252,1.0
10171,11433,1.0
10171,11453,1.0
10171,12574,1.0
10184,10783,1.0
10184,10783,1.0
10184,11630,1.0
10184,12235,1.0
10198,12197,1.0
10198,16491,1.0
10204,12523,1.0
10204,12523,1.0
10204,15231,1.0
10204,15231,1.0
10208,11728,1.0
10208,12222,1.0
10208,12889,1.0
10208,13771,1.0
10221,13983,1.0
10225,11630,1.0
10225,14125,1.0
10225,14125,1.0
10225,14125,1.0
10225,14125,1.0
10237,11445,1.0
10241,10241,1.0
10241,10304,1.0
10241,10304,1.0
10241,10304,1.0
10241,10551,1.0
10241,12709,1.0
10241,12709,1.0
10241,12709,1.0
10241,12719,1.0
10241,12719,1.0
10241,12855,1.0
10241,13369,1.0
10241,13770,1.0
10241,14627,1.0
10241,15257,1.0
10241,15257,1.0
10243,13863,1.0
10243,13863,1.0
10245,12294,1.0
10245,12635,1.0
10245,12638,1.0
10245,12748,1.0
10245,14119,1.0
10245,14119,1.0
10245,15448,1.0
10245,15853,1.0
10247,10299,1.0
10247,10783,1.0
10247,10783,1.0
10247,11214,1.0
10247,11214,1.0
10247,11214,1.0
10257,10154,1.0
10257,10785,1.0
10257,11259,1.0
10257,12197,1.0
10257,12478,1.0
10257,12953,1.0
10257,13158,1.0
10257,13296,1.0
10257,13541,1.0
10257,14259,1.0
10257,14683,1.0
10268,14831,1.0
10268,14877,1.0
10278,10056,1.0
10278,10056,1.0
10278,10056,1.0
10279,10693,1.0
10279,11278,1.0
10279,11292,1.0
10279,11292,1.0
10279,11481,1.0
10279,12339,1.0
10279,13198,1.0
10279,14908,1.0
10279,15370,1.0
10279,15624,1.0
10299,10245,1.0
10299,10299,1.0
10299,10299,1.0
10299,10304,1.0
10299,10304,1.0
10299,10304,1.0
10299,10551,1.0
10299,11555,1.0
10299,11637,1.0
10299,11924,1.0
10299,12264,1.0
10299,12321,1.0
10299,12755,1.0
10299,12769,1.0
10299,12769,1.0
10299,12819,1.0
10299,13676,1.0
10299,13894,1.0
10299,14102,1.0
10299,14474,1.0
10299,15085,1.0
10299,15124,1.0
10299,15236,1.0
10299,15236,1.0
10304,10241,1.0
10304,10241,1.0
10304,10304,1.0
10304,10313,1.0
10304,10313,1.0
10304,10313,1.0
10304,10313,1.0
10304,10551,1.0
10304,10551,1.0
10304,10996,1.0
10304,10996,1.0
10304,11028,1.0
10304,11028,1.0
10304,11550,1.0
10304,11550,1.0
10304,11550,1.0
10304,11643,1.0
10304,12195,1.0
10304,12676,1.0
10304,12676,1.0
10304,12676,1.0
10304,12676,1.0
10304,12709,1.0
10304,12855,1.0
10304,13369,1.0
10304,13894,1.0
10304,14493,1.0
10304,14493,1.0
10304,14493,1.0
10304,14493,1.0
10304,14493,1.0
10304,14493,1.0
10304,14627,1.0
10304,14627,1.0
10304,14627,1.0
10304,14627,1.0
10304,14627,1.0
10304,14627,1.0
10304,14627,1.0
10304,14627,1.0
10304,14816,1.0
10304,14816,1.0
10304,14880,1.0
10304,14880,1.0
10304,14880,1.0
10304,14880,1.0
10304,14880,1.0
10304,14987,1.0
10304,14987,1.0
10304,14987,1.0
10304,15085,1.0
10304,15257,1.0
10304,15257,1.0
10304,15257,1.0
10304,15257,1.0
10304,16311,1.0
10313,10304,1.0
10313,10304,1.0
10313,10551,1.0
10313,11028,1.0
10313,11630,1.0
10313,11630,1.0
10313,11630,1.0
10313,12087,1.0
10313,12087,1.0
10313,12087,1.0
10313,12676,1.0
10313,12676,1.0
10313,12676,1.0
10313,12676,1.0
10313,12676,1.0
10313,12676,1.0
10313,12676,1.0
10313,12676,1.0
10313,13196,1.0
10313,13196,1.0
10313,13196,1.0
10313,13196,1.0
10313,13196,1.0
10313,14627,1.0
10313,14816,1.0
10313,14816,1.0
10324,10056,1.0
10324,10056,1.0
10325,10559,1.0
10327,15618,1.0
10327,15618,1.0
10329,11136,1.0
10329,12197,1.0
10329,12264,1.0
10329,13936,1.0
10329,14996,1.0
10329,15030,1.0
10329,15167,1.0
10329,15304,1.0
10347,13461,1.0
10349,11630,1.0
10349,11630,1.0
10349,11630,1.0
10349,11833,1.0
10349,11833,1.0
10349,11833,1.0
10349,12621,1.0
10349,14709,1.0
10349,15581,1.0
10349,15581,1.0
10361,10535,1.0
10361,12478,1.0
10372,11109,1.0
10372,11764,1.0
10396,13767,1.0
10397,10620,1.0
10397,10693,1.0
10397,10713,1.0
10397,10721,1.0
10397,10721,1.0
10397,10721,1.0
10397,10990,1.0
10397,11140,1.0
10397,11433,1.0
10397,11638,1.0
10397,11638,1.0
10397,12889,1.0
10397,12954,1.0
10397,13487,1.0
10397,13487,1.0
10397,13796,1.0
10397,13796,1.0
10397,14107,1.0
10397,14679,1.0
10397,14747,1.0
10397,14893,1.0
10397,15380,1.0
10405,10304,1.0
10405,10551,1.0
10405,10551,1.0
10405,12708,1.0
10405,12807,1.0
10405,12831,1.0
10405,12831,1.0
10405,12831,1.0
10405,13434,1.0
10405,13579,1.0
10405,13770,1.0
10405,13770,1.0
10405,13770,1.0
10405,14130,1.0
10405,14627,1.0
10405,15085,1.0
10405,15798,1.0
10405,15862,1.0
10405,15887,1.0
10405,15887,1.0
10408,11638,1.0
10414,12197,1.0
10414,12197,1.0
10414,15167,1.0
10416,10551,1.0
10416,11550,1.0
10416,12195,1.0
10416,12195,1.0
10416,12195,1.0
10416,12195,1.0
10416,12769,1.0
10416,12769,1.0
10416,12807,1.0
10416,12807,1.0
10416,12807,1.0
10416,12807,1.0
10416,12807,1.0
10416,12807,1.0
10416,13369,1.0
10416,13369,1.0
10416,13369,1.0
10416,13434,1.0
10416,13434,1.0
10416,13434,1.0
10416,14234,1.0
10416,14234,1.0
10416,14234,1.0
10416,14234,1.0
10416,14234,1.0
10416,14718,1.0
10416,14718,1.0
10416,14718,1.0
10416,15085,1.0
10416,15085,1.0
10416,15085,1.0
10416,15085,1.0
10416,15085,1.0
10416,15085,1.0
10416,15085,1.0
10416,15282,1.0
10416,15478,1.0
10423,10713,1.0
10423,10713,1.0
10423,10821,1.0
10423,11193,1.0
10423,11278,1.0
10423,11423,1.0
10423,11433,1.0
10423,11540,1.0
10423,11603,1.0
10423,11790,1.0
10423,12191,1.0
10423,12197,1.0
10423,12391,1.0
10423,12441,1.0
10423,12896,1.0
10423,12953,1.0
10423,13204,1.0
10423,13476,1.0
10423,13796,1.0
10423,14057,1.0
10423,14100,1.0
10423,14107,1.0
10423,14492,1.0
10423,14570,1.0
10423,14679,1.0
10423,14747,1.0
10423,14771,1.0
10423,15447,1.0
10431,12264,1.0
10431,12264,1.0
10431,12264,1.0
10434,10540,1.0
10449,13122,1.0
10465,15618,1.0
10466,16133,1.0
10478,10478,1.0
10478,13949,1.0
10504,12222,1.0
10519,10347,1.0
10519,15304,1.0
10519,15615,1.0
10529,10154,1.0
10529,11066,1.0
10529,11728,1.0
10529,12394,1.0
10529,12889,1.0
10529,14492,1.0
10529,14492,1.0
10529,14831,1.0
10529,15070,1.0
10529,15249,1.0
10535,10154,1.0
